19527363: 爷童回[大哭]
45550713: 那离 家庭教师还远吗？
9645203: [doge]啊这，快进到叶王一个打一群
50299558: 真·爷青回～
8955338: 我的初恋！！！！叶王大人！！！
8955338: 叶王大人
11649549: 零几年的时候买了通灵王的光碟，结果全部都只有下半集，没有上半集。看得我一脸懵逼
11706928: 我惊了
4347144: 来啦来啦
57946063: 买过碟片来看，那会结局不怎么样
22640328: 爷青回[委屈]
1654292: 童年回忆！！！！两首op的歌至今在歌单里！
1469104: 除了通灵王就没见过哪部漫画结局主角爆完种实力不到boss百分之一的
32992818: 时光机？[热词系列_知识增加]
53551134: in天羽羽斩in布都御魂之剑
34074318: @七煌唯一水军
13344923: 有生之年，第一次看的时候是小学[呆]现在
362251587: 叶王
388240: 最初版本的漫画烂尾在十祭司卡利姆关卡，但是作者在08年用全新的画风把通灵王漫画完全又来了一遍甚至还补完了，现在看到的动画画风是按照08年漫画来的，所有包括人物外传的画风也都是这样所以不用纠结[吃瓜]另外这次的动画重制就是按照漫画来的，只是不会卡在初版漫画结尾那而是一直到重制漫画的结局，另外纠结叶王像女生的可以看看重制版画风，而且从最初漫画就已经有了“叶王公主”这个梗[吃瓜]
1587502: 附身合体 in 春雨
[蛆音娘_机智]
16281531: 是我太想念以前的配音吗？感觉新的啊叶配音不太对的样子。虽然是会看，但总有一点别扭[喜极而泣]
8505882: 啊这？是重制还是新故事？
4085402: 叶凡[妙啊]
85527873: 为什么东洋国的人放大招会喊招式的名字？
11555273: 卧槽卧槽卧槽
3337868: 这是出第2部还是重置
136952: 啊啊  “好”女王啊[喜欢]   
自从看了通灵王，“好”女王就是我最喜欢的男性角色[害羞]
178676480: 这个画风还有这个人物塑造，我觉得和双星阴阳师很像，嗯，勿喷勿喷，我就说一下
322306336: 上吧，阿弥陀丸！
204174662: 我的青春啊！！！！！！
26589775: 二段媒介！！！！！
241629774: 我靠爷青回！
3916646: 马孙！黄金中华斩舞！！！我还记得这个
400494: 十几年了，木想到我能看到会动的甲缚式超灵体[热词系列_知识增加]
296128013: wocao wocao
487079676: 啊啊啊啊我好爱叶和好，还有安娜
457148481: 卧槽，这真的是爷青回！小时候在星空卫视看的，没看完
66916987: 今年有犬夜叉，明年通灵王，安排上[OK][OK]
18361732: 甲缚式超灵体 漫画补全还是自创剧情？
16860793: 叶王太强了。没得看
15595169: 知道这个的应该都二十好几了吧
5899588: 入宅番！泪目[阿库娅_哭了]
482920809: 这画风和双星阴阳师好像啊
400787715: 所以，b站会买下来吗？我只想在b站和大家一起看，b站范围好[微笑]
5804155: 阿弥陀丸in春雨in布都御魂之剑[歪嘴]
1357332: [小A和小B_喝茶]新op和ed是林原惠美演唱吗？剧情内容这次到漫画后面大结局没有，如果单单画面提升，剧情内容没进展和旧版一样还看个ji儿，听不见！听不见！这么小声还想开军舰
123653342: 安娜最强的
53181755: 画风不错，通灵王以前好过很多遍
3795768: 爷青回
12845965: 刚刚突然想起童年的通灵王，来B站一搜，没想到居然有新作了
1625842: 这岂止是青回啊，这妥妥的童回了
222851558: 爷青回
290941792: 哈？誰說第一版動畫爛尾來著？第一版動畫結尾簡直神了，留白直接給了葉王超大面子，我不知道當時是不是動畫進度又超過了漫畫進度，但動畫那邊的葉王已經沒人可以阻止了，難不成又要主角開掛不成，那特麼就沒意思了。可以認為是聖靈最終沒有承認葉王，因為葉王沒有通過正式比賽而是強行越出規則找聖靈
9634210: 我哭了，叶！安娜！叶王！！！！通灵王是我童年最爱的动漫了[打call]
45352568: 彻底变成武井现在的画风了[笑哭]
4700580: 童年的都忘没了[呆][呆]
54315588: 只要活得久  啥都能见到
450467910: 诸君 我好兴奋
2803740: 爷青回！！[打call][打call]
1290353: 哈哈哈哈林原女王还有吗
11795115: 刚想重温就看到这个消息，今晚注定是个不眠夜[委屈]
25187371: 唯一一部买碟重温的[抠鼻][抠鼻]
10752290: ！！！！爷青回啊啊啊啊啊啊啊啊啊，我记得漫画都没画完吧。
11237137: 星空卫视的犬夜叉和通灵王都有新的了 那结界师呢！？
1730092: 爱了爱了，恐山安娜
402885068: 期待[打call]
108873337: 爷青回
32597878: 以前华娱卫视星空卫视下午5点半 阿弥陀丸真空浮伦斩[害羞]
1315980: 这还不是青回了，童年回忆了，小学5，6年级去一角书屋租的漫画，然后家里本来是卖碟的，去成都进货的时候又看到了动画，连哄带骗的叫家里人进了一套回来
2380971: 通灵王？就是那个把反派搞的太厉害，导致按照逻辑主角打不过而自我崩溃的漫画嘛[doge]
3385647: 哇，真是爷青回来，07年初中在土豆上看的
