583481081: 这皇后说的话一股东北大碴子味[辣眼睛]
39064869: 这对太好了
287005990: 含笑塞了两枚硬币[OK]
372714431: 入了个好坑！果断关注！期待！
4781981: 出现了！东北经典反击：我看你像xx！
14942551: 动画组加油啊！！！！！
22133349: 加油
285096380: 皇后要是御姐音的话，我就🉑了[委屈]
37472871: 啊喜欢！
21237102: 好家伙[支持]
142797136: 十年老粉，不请自来[doge]
522058230: 救命，这个up是个宝藏啊，我关注了就是老粉了是吧是吧是吧[星星眼]
477844939: 皇后我挺喜欢的，真好
265973986: 新粉报道，太可爱啦~哈哈哈哈哈同情皇上一秒~~~[鼓掌][OK][OK][妙啊][妙啊][妙啊]
399320241: 现在关注你我就是老粉了[doge]
185428486: 关注了[OK]
581589852: 既以容貌惊天人，何必开口乱芳华。[doge][doge]
38895946: 两大ne
152090525: 皇后╳皇上的cp好棒
82994406: 好可爱好可爱
13446280: 这个up必火的好吧
20498595: 好可爱哈哈哈哈哈哈
24503007: 我还以为是小孩开大车[doge]
15882452: [视频卫星]怕是第一个穿越来的所以是皇后
21811625: [热词系列_爱了爱了]
89363943: 爱了爱了
6747001: 哈哈，好喜欢皇后呀
262086029: 加油啊啊啊啊
11554903: 太可爱了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈喜欢
349535439: 所以，双马尾呢[辣眼睛][偷笑]
483862225: 我们仍不知那年皇上的后宫到底有什么[doge]
2846357: 好可爱。
15146646: 我也想吃大鹅QAQQQQQ皇后你回来嘤嘤嘤
24204893: 爱了爱了 两个圆圆的东西奉上
396495779: 哈哈哈哈哈哈哈哈
3224925: 火钳刘明！！！！真的好有意思哈哈哈哈哈哈哈有一说一皇后形象我好喜欢 [doge][doge][doge][doge]我女神也这个性格
43900092: [热词系列_神仙UP]
28575140: 看完了up的所有视频，希望up快点更新，不要不识抬举，不然我就跪下来求你[doge]
240672314: 嘿嘿，可爱
2149333: 让皇后看看这个皇宫是谁嗦了蒜
43858584: 皇后这配音太逗了，就冲这皇后的配音给投俩硬币
30832701: 皇后很不错啊，为啥声音那么像男生[喜极而泣]
12637149: 吃了六个大ne皇上胃口真好
352651282: [歪嘴]这黄桑不做也罢
17947349: 我要吃炖大鹅
934070: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈首页刷到的也太可爱了哈哈哈哈哈哈哈哈
51130187: 😂以前看过一个也差不多，一组人开发了时空机，反派占据了时空机拿来卖钱让穿越者来玩，无法获得皇帝的喜爱就会出局然后游戏结束，不过穿越者不感知疼痛所以作天作地，研究出时空机的男博士失忆成为了皇帝，一直都认为自己是皇帝，来找博士的男特种兵穿成了皇后，一直怀疑皇上但是没有证据，皇帝就一直纠结皇后比自己高比自己壮，文能治后宫，武能安天下，各色穿越人士穿成了妃子，太监，官宦等等，有男有女，大家的目标都是皇上的爱，感觉挺有意思的哈哈。有个妃子献舞跳的广播体操，皇上怀疑她脑子有问题，哈哈哈。
233646563: 等up火我就是老粉
376788905: 哈哈哈哈哈这皇后太可爱了！
86396461: 好家伙 点开投稿吓一跳 关注了 更快点[鸡腿][doge]
580551490: 我要当老粉！我要！要！要……！
131693897: 朕甚悦，三连给定了[2233娘_耶]
2427470: 皇后不会是第一集的小萝莉变得吧
274947778: 哈哈哈哈，真的让人欲罢不能，这是什么奇特的cp，要是能出个续集就更好了哈哈哈
41336844: 你这更的有点慢[doge][doge][doge]
48246233: 现在关注就是老粉了嗷，这早晚要火啊[妙啊]
644339529: 第一个是阿笠博士吗
379713251: 欺负一下，才一级啊
272843888: 快点更快点更[tv_调侃]看完就催更是我没错了[tv_偷笑]
389976229: 翻牌是什么？
（我什么都不懂）[doge]
35727915: 悄咪咪问一句:这种暴躁又可爱，美貌又霸气的皇后去哪里领？[doge]
357783549: 现在关注以后就是老粉啦[妙啊]
8757529: 我发现个好玩的，按住点赞然后进度条快满的时候松手，进度条会缩回去。如此反复又好玩又刺激。
322280861: 皇上和皇后，好可爱啊
15954391: 大鹅，好吃么
274947778: 哈哈哈哈哈
190689147: 噗~哈哈哈哈鹅鹅鹅鹅鹅鹅鹅鹅[笑哭][笑哭]
19944151: 坐等更新
456556472: 哈哈哈哈哈哈，好可爱，喜欢
433964488: 啊是新人UP！趁现在关注以后我就是老粉了！
630422267: 跪求赶紧紧紧更新嗷
95924798: up加油(ง •̀_•́)ง支持你，币已投[歪嘴]
3534891: 好有意思呀～
159443873: 皇后妹出现之前，我寻思皇上最虎。皇后一出来，我觉得皇上也就是活泛
436708901: 我觉得你们会火，先关注了[热词系列_吹爆]
画风好爱!
20373169: 哈哈哈哈哈哈哈哈哈
290360929: 皇后霸气！
33485079: 我一口气看完了up主的全部视频[doge]
284478278: up，up 真是短小精干又有趣[doge]
317443699: 关注了关注了。好有趣。
50399443: 哈哈坐等成为老粉[tv_doge]
429452: 迷惑
108105989: 跨。。。跨越年代的交流[尴尬]
13677937: 大呢[doge]
215197631: 哈哈哈哈好可爱
94028377: 皇后好有魅力！爱辽爱辽[惊喜]
472613066: 辣条小萝莉长大了吗？
353146096: 催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更催更
7472971: 喔吼喔吼，来了来了，喜欢皇后和皇上，这皇上和之前那个是一个吗[笑哭]
80906652: 现在我关注了以后就是老粉了（欺负一下一级号[doge]）
527163845: 看我发现了什么，是宝藏up。[热词系列_爱了爱了]
80906652: 老粉预定
527707: 好玩哈哈哈哈加油加油，多更新一点
15950605: 有亿点可爱、关注了关注了
37713547: 哈哈哈哈哈哈哈哈哈哈哈哈哈
13027127: 论皇上的后宫里有什么[Cat_pressure]
33898676: 啊快点更新呀，什么宝藏up
14360771: ！宝材，b站捡到鬼了。希望你们可以快点更新，最好日更，不要不识抬举[doge]要不我就跪下来求你
350513198: 啊这…看标题我以为是那样，结果是这样[歪嘴]
590267980: [歪嘴]
11342756: 现在关注就是老粉了吧
35395721: 催更[打call]
13225340: 笑死我了[呲牙]
14836742: 发现了宝藏啊，这也太可爱了～
91537798: 好看！！[打call][打call][打call][打call]
23350335: 为了皇后，[热词系列_三连]了！
405083224: 啥时候更新把我的币接走[吃瓜]
38352387: 有趣[歪嘴]
471258126: 2247个粉丝[doge]
380574010: 哈哈哈哈太可爱了
22219090: 剧组加油
299377255: 这好有意思啊，啥时候更啊？[惊喜][惊喜][惊喜]
67157300: 哈哈哈哈这个好好玩呀
302440487: [tv_皱眉]可怜啊这黄尚
438757481: 好好看！！！以后我就是老粉了！！[妙啊]
85737025: 还好你后宫没有那个无敌的十七岁少……女[doge][doge][doge]
258002438: 整得挺好，赏[热词系列_三连]
164057703: 崽子硬币接好了，快更新！
341469192: up的id好好笑哈哈哈哈哈哈也好可爱哈哈哈哈哈视频做的蛮好的加油呀！
86253380: 更啦更啦，下了夜班刷到真的好令人开心呀
ヽ(○^㉨^)ﾉ♪
55935860: 皇后和皇上锁了！
637635319: 看我发现了什么神仙up[热词系列_爱了爱了]
8997608: 催更
23596645: 有点上头！！
24506641: 现在关注 以后我就是老粉了！
20371292: 哈哈哈哈哈哈大ne
294798907: 怎么对皇后这个角色有点幻想呢[笑哭]
163989740: up我觉得你的作品很好，希望你多多更新，不要不识抬举。不然我就嘤嘤嘤加跪下来求你[微笑]
163989740: 有趣[OK][热词系列_三连]
5065381: 期待后续，现在投币入股还来得及当十年老粉吗！
239816081: 哈哈哈哈，好好看啊，以后就是老粉了[打call][热词系列_三连]
